City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Cockburn Town,TC,21.4612,-71.1419,77.0,83,20,6.91,few clouds
245,Bollnas,SE,61.3482,16.3946,8.01,91,89,4.07,overcast clouds
246,Komsomolskiy,UZ,40.4272,71.7189,41.0,75,79,6.91,mist
247,Port Hardy,CA,50.6996,-127.4199,39.2,81,75,10.36,broken clouds
248,Kendrapara,IN,20.5042,86.416,60.8,88,20,6.24,mist
249,Airai,TL,-8.9266,125.4092,69.48,89,100,3.58,overcast clouds
250,Bundaberg,AU,-24.85,152.35,82.0,89,40,11.5,light rain
251,Kieta,PG,-6.2167,155.6333,85.95,71,94,7.67,moderate rain
252,Bay Roberts,CA,47.5999,-53.2648,30.0,70,100,5.01,overcast clouds
253,Waddan,LY,29.1614,16.139,71.15,19,100,16.08,overcast clouds
254,Cuamba,MZ,-14.8031,36.5372,69.53,96,89,1.57,light rain
255,Vila Velha,BR,-20.3297,-40.2925,69.8,100,90,6.91,overcast clouds
256,Narsaq,GL,60.9167,-46.05,37.4,28,58,44.87,broken clouds
257,Kenai,US,60.5544,-151.2583,19.4,85,1,5.75,clear sky
258,Palimbang,PH,6.2106,124.1894,83.41,68,100,1.14,overcast clouds
259,Kruisfontein,ZA,-34.0033,24.7314,64.0,88,100,6.98,overcast clouds
260,Macamic,CA,48.7502,-78.9996,-2.2,78,20,2.3,few clouds
261,Hualmay,PE,-11.0964,-77.6139,72.0,76,100,9.8,overcast clouds
262,Carnarvon,AU,-24.8667,113.6333,80.6,100,40,12.66,scattered clouds
263,Avera,US,33.194,-82.5271,42.8,78,1,5.23,clear sky
264,Salalah,OM,17.0151,54.0924,69.8,73,75,4.61,broken clouds
265,Orlik,RU,52.5178,99.825,3.83,81,100,2.15,overcast clouds
266,Norsup,VU,-16.0667,167.3833,85.46,51,0,1.7,clear sky
267,Petlad,IN,22.4667,72.8,51.8,93,0,4.61,haze
268,Natal,BR,-5.795,-35.2094,80.6,83,40,10.36,scattered clouds
269,Kodiak,US,57.79,-152.4072,35.6,51,1,3.44,clear sky
270,Waycross,US,31.2136,-82.354,46.4,93,1,4.65,clear sky
271,Panaba,MX,21.2833,-88.2667,72.54,96,27,7.11,scattered clouds
272,Cabo San Lucas,MX,22.8909,-109.9124,69.01,60,40,6.91,scattered clouds
273,Krasnoselkup,RU,65.7,82.4667,21.38,98,100,6.42,light snow
274,San Ignacio,BZ,17.1561,-89.0714,87.8,62,0,6.91,clear sky
275,Scottsbluff,US,41.8666,-103.6672,8.6,72,90,9.22,light snow
276,Camana,PE,-16.6228,-72.7111,72.79,78,55,4.03,broken clouds
277,Leningradskiy,RU,69.3833,178.4167,-15.14,85,0,7.96,clear sky
278,Nanortalik,GL,60.1432,-45.2371,31.59,87,87,17.83,overcast clouds
279,Yuci,CN,37.6803,112.7319,19.4,73,0,1.68,clear sky
280,Haines Junction,CA,60.7522,-137.5108,-16.6,63,0,1.14,clear sky
281,Birjand,IR,32.8663,59.2211,39.2,30,0,3.38,clear sky
282,Raga,SS,8.4596,25.678,55.35,37,7,1.79,clear sky
283,Lidkoping,SE,58.5052,13.1577,14.0,92,1,5.75,clear sky
284,Boralday,KZ,43.3578,76.8594,35.6,87,75,4.47,mist
285,Kollam,IN,8.8833,76.6,78.8,78,20,2.3,mist
286,Batagay-Alyta,RU,67.8006,130.4114,-30.23,76,0,2.42,clear sky
287,Bonthe,SL,7.5264,-12.505,78.73,84,51,3.96,broken clouds
288,Cabedelo,BR,-6.9811,-34.8339,80.6,83,20,8.05,few clouds
289,Kloulklubed,PW,7.0419,134.2556,82.4,83,75,10.36,broken clouds
290,Luderitz,NA,-26.6481,15.1594,67.03,55,0,28.48,clear sky
291,Broken Hill,AU,-31.95,141.4333,71.6,37,0,12.66,clear sky
292,Chatra,IN,24.2167,84.8667,46.4,87,0,4.61,mist
293,Hovd,MN,48.0056,91.6419,12.16,86,100,1.34,overcast clouds
294,Cayenne,GF,4.9333,-52.3333,80.6,83,75,6.91,broken clouds
295,Acarau,BR,-2.8856,-40.12,79.2,83,1,11.65,clear sky
296,Morrope,PE,-6.5417,-80.0111,75.2,69,0,18.41,clear sky
297,Krasnokamensk,RU,50.0979,118.0369,-7.28,84,96,3.2,overcast clouds
298,Havelock,US,34.8791,-76.9013,42.8,81,1,10.36,clear sky
299,Nelson Bay,AU,-32.7167,152.15,75.99,64,75,16.11,broken clouds
300,Port Harcourt,NG,4.7774,7.0134,80.6,89,20,4.99,few clouds
301,Yulara,AU,-25.2406,130.9889,86.0,21,0,17.27,clear sky
302,Izhmorskiy,RU,56.194,86.6414,13.64,94,28,12.15,scattered clouds
303,Muisne,EC,0.6,-80.0333,77.38,89,94,5.93,light rain
304,Khatanga,RU,71.9667,102.5,-27.47,80,12,11.83,few clouds
305,Bereda,ES,43.2686,-7.5406,48.99,100,81,7.0,broken clouds
306,Buala,SB,-8.145,159.5921,85.03,75,97,9.22,moderate rain
307,Bosaso,SO,11.2842,49.1816,73.13,81,1,2.1,clear sky
308,Zharkent,KZ,44.1628,80.0,33.96,83,100,0.85,overcast clouds
309,Grenaa,DK,56.4158,10.8783,26.6,80,75,19.57,broken clouds
310,Egvekinot,RU,66.3167,-179.1667,-11.97,87,5,15.1,clear sky
311,Nouakchott,MR,18.0858,-15.9785,62.6,31,0,6.91,clear sky
312,Yarmouth,US,41.7057,-70.2286,33.8,100,90,17.27,snow
313,Whakatane,NZ,-37.9585,176.9854,66.97,66,91,5.3,overcast clouds
314,Lashio,MM,22.9333,97.75,53.04,96,83,1.14,broken clouds
315,Iralaya,HN,15.0,-83.2333,77.02,84,0,6.06,clear sky
316,San Andres,CO,12.5847,-81.7006,80.6,74,20,9.22,few clouds
